	GeneID	Chr	Symbol	NExons	P.Value	FDR
14587	68652	10	Tab2	7	0.972090450864984	1
5833	319336	1	C130036L24Rik	2	0.972109566765505	1
128871	83679	3	Pde4dip	49	0.972139635875188	1
133806	67460	4	Decr1	10	0.972143253021075	1
211383	54369	9	Nme6	7	0.972213088309002	1
179556	56632	7	Sphk2	8	0.97225963801785	1
11572	100039795	1	Ildr2	10	0.972320188845	1
16469	215951	10	Afg1l	13	0.972331653739347	1
125245	56758	3	Mbnl1	13	0.972333573979384	1
178656	20256	7	Clec11a	4	0.972351584811924	1
77499	268878	16	Atp13a5	30	0.972353802238463	1
52580	56795	13	Arl10	4	0.972361217964589	1
166588	20166	6	Rtkn	13	0.972369953188909	1
196392	17748	8	Mt1	3	0.972411240804679	1
34401	237898	11	Usp32	34	0.972417372833498	1
187247	21804	7	Tgfb1i1	10	0.97242790913069	1
115034	56357	2	Ivd	12	0.972453705407455	1
207101	235461	9	Mindy2	9	0.972458845218509	1
15409	76306	10	Slc18b1	14	0.97245914497196	1
152065	100737	5	Dcun1d4	13	0.972481691133975	1
210199	102626	9	Mapkapk3	11	0.972486448196556	1
167539	66098	6	Chchd6	8	0.972487791147685	1
26098	17449	11	Mdh1	9	0.972496198067941	1
118792	110078	2	Pygb	20	0.972501014820696	1
150177	16976	5	Lrpap1	8	0.972548778268438	1
121397	277360	2	Prex1	40	0.972558625438846	1
199015	56690	8	Mlycd	5	0.972560322622717	1
129191	78908	3	Igsf3	11	0.972574574843626	1
130868	71994	3	Cnn3	7	0.972578607393848	1
24807	544752	11	Tug1	4	0.972580527431917	1
50821	210108	13	D130043K22Rik	21	0.972630884845569	1
175327	22756	7	Zfp94	6	0.972653271289139	1
97214	110796	18	Tshz1	2	0.972655417193672	1
135340	12913	4	Creb3	9	0.972657076045718	1
48736	399566	12	Btbd6	5	0.972660087150163	1
196547	107566	8	Arl2bp	7	0.972676961211035	1
56822	52552	13	Parp8	27	0.972682291975618	1
90896	240168	17	Rasgrp3	19	0.972722528699879	1
46251	238323	12	Rps6kl1	11	0.972729270862137	1
129256	229658	3	Vangl1	9	0.972745224325755	1
