	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000025193	107.2	125.8	-0.205359770669307	1.66957490426425	5.07864017417903	0.0306575662618491	0.0759315625659223
ENSMUSG00000031781	1110.6	1068	0.064161001941799	4.78290724551949	5.07536399219381	0.0307078997360645	0.0760443280541561
ENSMUSG00000024750	3905.8	4176.4	-0.082659535654076	6.65748728796788	5.07422803831591	0.0307253729900002	0.0760756967086991
ENSMUSG00000036968	291.4	269.8	0.132490529990313	2.90703328274825	5.0734219135501	0.0307377794000477	0.0760945120618322
ENSMUSG00000043518	656.6	727	-0.131370353145918	4.14133299523441	5.07170854050323	0.0307641667166182	0.0761479272802736
ENSMUSG00000004100	1505.2	1649.4	-0.119787611067532	5.35913563122992	5.0713164865662	0.0307702081407149	0.0761509732112845
ENSMUSG00000018820	1567	1660	-0.0897149233850035	5.3909134556383	5.06854830690398	0.0308129018054197	0.0762323891338876
ENSMUSG00000102493	86	74.2	0.226241679330897	1.04263959916315	5.87653363470596	0.0308137624444837	0.0762323891338876
ENSMUSG00000040010	2185.2	1970.2	0.149842090319701	5.68460627630888	5.07217844216205	0.0308175537347746	0.0762323891338876
ENSMUSG00000018398	23342.4	24672.2	-0.062526390739303	9.23615477418286	5.06760161671701	0.0308275174701928	0.0762370303600935
ENSMUSG00000110701	9.4	14.4	-0.586741359368315	-1.4789784779616	10.766544263641	0.0308337207484814	0.0762370303600935
ENSMUSG00000046330	290	267.2	0.146977367679261	2.81125466154396	5.06718972852671	0.0308338788530746	0.0762370303600935
ENSMUSG00000031488	102.6	89	0.260575688805052	1.40997776057557	5.06410826876481	0.0308815158149524	0.076342888307806
ENSMUSG00000033066	23205	22049.8	0.0715747810349293	9.17994807858273	5.06299840389946	0.0308986931562193	0.0763734250421293
ENSMUSG00000092230	84	72.8	0.237764312358932	1.1293322352562	5.0625143618435	0.0309061879287709	0.0763800232200647
ENSMUSG00000020917	6911.4	7233.2	-0.0635288820363495	7.47579714299771	5.05976565858651	0.0309487857789845	0.0764733578044872
ENSMUSG00000040003	8027.4	7584.2	0.0803557928684605	7.65031620621629	5.05939616602446	0.0309545168569044	0.0764755809782956
ENSMUSG00000029319	1072.2	1031.2	0.0740504356523597	4.74655659320399	5.05838321856271	0.030970234302148	0.0765024717179621
ENSMUSG00000108802	23.8	30	-0.38971953481389	-0.288018046851649	6.05267762177289	0.0310280821694092	0.0766334081228864
ENSMUSG00000037386	2665.4	2833.8	-0.0929210147476086	6.13666348251905	5.05322189637216	0.0310504557618836	0.0766767026918652
ENSMUSG00000030235	1061.8	1194.6	-0.142250068906872	4.86764544174289	5.05192189125524	0.0310706972847904	0.0767147195945947
