	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000074916	76.2	85.2	-0.148334274007162	1.20717498464246	0.960928113318099	0.333750114454556	0.481931268171973
ENSMUSG00000063696	1475	1395.8	0.0850538578823152	5.22420055510879	0.961084621932728	0.334010711948733	0.482249758526053
ENSMUSG00000032939	497.8	520	-0.0559688065572274	3.73874394606441	0.959794273136875	0.33403160986036	0.482249758526053
ENSMUSG00000071748	150.4	138.4	0.123251900794402	1.86031186304533	0.959300226929319	0.334154367370317	0.482382989612837
ENSMUSG00000022141	2743.2	2626.4	0.0507228392757475	6.08239292929924	0.959024537716619	0.334222895842743	0.482430920845287
ENSMUSG00000101439	272.2	235.6	0.171301006966009	2.60982645983701	0.960938710098613	0.334288558100009	0.482430920845287
ENSMUSG00000034762	56	63.6	-0.193116155792231	0.739187425865966	0.959099192546757	0.334301023336741	0.482430920845287
ENSMUSG00000039145	4513.8	4368.6	0.044415518262218	6.78225787010022	0.958676318727232	0.334309480747486	0.482430920845287
ENSMUSG00000024766	259.2	273.4	-0.080601257049552	2.76734730271591	0.958165811779922	0.334436474394277	0.482570187163811
ENSMUSG00000030256	559.2	536.8	0.0792577237199324	3.77501445300531	0.957726083928167	0.334545914190269	0.48266633932991
ENSMUSG00000053046	11285.8	11616	-0.0339298683519263	8.17891478423834	0.957653048889739	0.334564095971178	0.48266633932991
ENSMUSG00000020415	818	852.8	-0.0601244463864215	4.40709732681241	0.957146272019478	0.334690293462384	0.482761546179087
ENSMUSG00000052934	5450.4	5396.6	0.0301851508323811	7.1069710025313	0.957038766955595	0.334717072767234	0.482761546179087
ENSMUSG00000029174	2253.4	2151.2	0.0580364710175874	5.82426771995146	0.957020653748914	0.334721585022142	0.482761546179087
ENSMUSG00000047146	130.2	136.4	-0.0810666892232583	1.78841237599421	0.988641102583276	0.334873381529988	0.48293647560479
ENSMUSG00000050105	45	50.6	-0.134629296995549	0.459090409542467	0.955437575636534	0.335116275354128	0.483227259873255
ENSMUSG00000039316	251	274.8	-0.0999635793746362	2.72755539538328	0.955358246337579	0.335136070433293	0.483227259873255
ENSMUSG00000057335	2958	3094.4	-0.0421923331382402	6.26130669329836	0.95475859358159	0.335285754115405	0.483381343357811
ENSMUSG00000027900	728.4	711	0.0477593450822377	4.18082941229407	0.954685489397539	0.335304008469819	0.483381343357811
ENSMUSG00000031095	1525	1579.2	-0.0357008745311866	5.34274682538361	0.954381735248131	0.335379871519377	0.483446679380768
ENSMUSG00000004099	3497.6	3629.8	-0.0377145902610002	6.51409482260629	0.9541666025759	0.335433615506966	0.483480122005077
ENSMUSG00000106864	930.8	888.4	0.0484335807316014	4.52971432876706	0.953717959891869	0.335545732593954	0.483597687446936
ENSMUSG00000040648	1458.6	1509.2	-0.0510824506178954	5.19573248645732	0.953332698444517	0.335642051680543	0.48369246504473
ENSMUSG00000079108	2415.8	2594.4	-0.0896484053289161	6.0196794937146	0.953979437578612	0.335978265020147	0.484132904597534
ENSMUSG00000096617	6099.2	6651	-0.116387699172632	7.39413301973392	0.956023262643042	0.336118634318028	0.484255221254173
ENSMUSG00000086389	14.4	18	-0.231321256951682	-1.09166385011005	1.5992666932459	0.336124336086904	0.484255221254173
ENSMUSG00000024983	2403	2473	-0.0356587780279899	5.94500185296492	0.950675288407123	0.336307467469041	0.48447496383031
ENSMUSG00000053646	2420.8	2505.4	-0.0655949278841911	5.9823110869787	0.950571000949806	0.336381519255355	0.484537543752208
ENSMUSG00000035873	70.4	65.2	0.118161056822966	0.743669734238561	0.949927078616888	0.336495146928695	0.484606571725074
ENSMUSG00000015839	404.2	392	0.067045714662957	3.36730002233169	0.949921750729812	0.33649648388247	0.484606571725074
ENSMUSG00000011958	1162	1192.6	-0.040926821433052	4.91962532772002	0.949822917158129	0.336521286019459	0.484606571725074
ENSMUSG00000029084	31.6	28.6	0.166948793712587	-0.290078138151141	1.61976978389921	0.336675299534715	0.48474019165535
ENSMUSG00000110669	18.8	16.4	0.22217856352523	-0.867808250352515	1.19996809259493	0.336675321691763	0.48474019165535
ENSMUSG00000074800	1032.2	1091	-0.0755031086084178	4.798135637973	0.949085636098204	0.336788050293182	0.484858394551231
ENSMUSG00000056234	306.8	298.2	0.0602635427037247	2.95614098122362	0.94853706861432	0.336844197407885	0.484895125570153
ENSMUSG00000022390	9939	10201.2	-0.0328552572168412	7.98629150222987	0.948136042249421	0.336944993311386	0.484996117043369
ENSMUSG00000084284	293.4	283.4	0.105892629833303	2.93622432743225	0.946842225311248	0.337302969627815	0.485440921167792
