	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000047155	190.2	282.4	-0.579947925478139	2.53599057449254	111.433953706797	2.28623229453912e-12	8.04194910894659e-10
ENSMUSG00000040822	367.2	254.6	0.540500880879535	2.97334320874373	111.040144143381	2.39660863279082e-12	8.17436878617285e-10
ENSMUSG00000031431	1526.4	915.2	0.72438168870138	5.28035214029067	111.653764074831	2.42716111535867e-12	8.17436878617285e-10
ENSMUSG00000029701	3314.8	2321	0.507239247300071	6.15294442226648	109.158574023105	3.00753780952409e-12	9.78004272433646e-10
ENSMUSG00000039913	1877.2	2834.4	-0.589749624316365	5.91342914131893	109.104140624385	3.02749443106e-12	9.78004272433646e-10
ENSMUSG00000031558	1326.4	1906.6	-0.527200912798155	5.34991578100504	108.870310309346	3.11482942420796e-12	9.86092699115757e-10
ENSMUSG00000022607	7825.6	6545.2	0.267030580537689	7.46699675538338	108.498370509962	3.25928327252991e-12	1.01159205727208e-09
ENSMUSG00000020571	4204	2873.4	0.55190320037563	6.53494844686304	108.074611430673	3.43254328615743e-12	1.04487937839588e-09
ENSMUSG00000031626	7650.2	9682.6	-0.343594783002174	7.81138491448765	104.498779037004	5.34763959889302e-12	1.5971280605826e-09
ENSMUSG00000024952	1043.8	1443.2	-0.473356717549802	4.96551074730973	102.756998568746	6.66455884396449e-12	1.95357966557618e-09
ENSMUSG00000039057	1212.4	1823.4	-0.59852687491973	5.25959006376538	102.58922187804	6.80840872467183e-12	1.95946003096055e-09
ENSMUSG00000034265	3278.6	2364.8	0.481061373597221	6.17204926268121	101.815811249355	7.51530153808914e-12	2.09690445467266e-09
ENSMUSG00000031503	9638.2	6926.2	0.474232220902756	7.6748350254285	101.72386225591	7.60436830390597e-12	2.09690445467266e-09
ENSMUSG00000035576	729	1100.4	-0.614056818709555	4.48619444461467	101.64322720686	7.68339493151899e-12	2.09690445467266e-09
ENSMUSG00000019232	2039	1049.2	0.946163308514955	5.31390319320435	107.507056390076	7.87049151962516e-12	2.11155949600249e-09
ENSMUSG00000030889	122.4	229	-0.944887621064915	2.13239394425007	101.201242232769	8.13227633563934e-12	2.14543003528059e-09
ENSMUSG00000015656	30047.6	22008.8	0.448233746175653	9.38716256830464	100.807749187074	8.55527715757604e-12	2.22002429716838e-09
ENSMUSG00000003814	15728	11023.6	0.512919744438761	8.44724642551593	100.135964683375	9.58220300650838e-12	2.39709948314974e-09
ENSMUSG00000033685	488	294.6	0.699647846380828	3.47654939378301	99.8649036575872	9.66641139518884e-12	2.39709948314974e-09
ENSMUSG00000040811	3944.6	5219.4	-0.406217417781207	6.84551928522989	99.8445796795408	9.69198097931539e-12	2.39709948314974e-09
ENSMUSG00000035934	4358.6	5268.4	-0.27817138238438	6.90137252704197	97.5173827751839	1.31509164529173e-11	3.20255163897274e-09
ENSMUSG00000016028	178.4	294.4	-0.731973270100455	2.53656667925505	96.9312536856074	1.42138283159165e-11	3.40894982443397e-09
ENSMUSG00000020176	1279.4	1704.4	-0.4224335467174	5.26880572841912	94.6363106683657	1.93356207402334e-11	4.53625472058089e-09
ENSMUSG00000021010	440	676.6	-0.618396853655832	3.80261625122388	94.5785481989825	1.94873536546529e-11	4.53625472058089e-09
ENSMUSG00000031639	531	794.6	-0.595700074049173	4.103989017611	93.0828968517507	2.3888724964509e-11	5.44181782436174e-09
ENSMUSG00000029657	13281.6	9651.2	0.461624980477702	8.21362635573473	93.0291843202383	2.40651492643453e-11	5.44181782436174e-09
ENSMUSG00000067578	2557.8	1115.8	1.25850882877837	5.59337199486252	104.874427440004	2.56538347614029e-11	5.71935986532741e-09
ENSMUSG00000066037	4660.4	5757.8	-0.295598359805005	7.06289323172615	92.0230771633389	2.76375340944412e-11	6.07603509973485e-09
ENSMUSG00000037148	1045.6	1382.2	-0.406207525121935	4.95376443042626	91.3833605348176	3.01975628067816e-11	6.54790714614447e-09
ENSMUSG00000104415	143.6	53.6	1.3728274954326	1.56878255487802	91.082828847354	3.14857673825719e-11	6.6706610141723e-09
ENSMUSG00000035504	762.4	1101.2	-0.54425780624459	4.55074338381285	91.0553277175329	3.16065181668408e-11	6.6706610141723e-09
ENSMUSG00000024186	1389.2	1934.8	-0.487832507333699	5.3596872517627	90.4336545184543	3.44710023182518e-11	7.09553906605239e-09
ENSMUSG00000037492	1580.8	2166	-0.443650605185646	5.59885100814096	90.4242944159809	3.45161733581423e-11	7.09553906605239e-09
