	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
20855	211.429657831986	138.285284136928	0.561711054555601	2.13353057087972	17.9347807162338	0.000141384243035424	0.00105087183403977
238271	165.245509285884	198.202060643049	-0.432524733824098	2.57201271455795	17.9286931041734	0.000141690393311573	0.00105260894949411
76527	2583.39112271287	2440.30484200363	0.185769890881511	6.1564209137194	17.9240162381531	0.000141926072264809	0.00105382103018903
72567	4926.53299983623	4999.75213233168	-0.165755585906834	7.17940993604108	17.9222134591255	0.00014201702944993	0.00105395784215369
213575	550.78769147849	663.554668981637	-0.308622607061666	4.16349364490341	17.9089936792115	0.000142685904617698	0.00105838125574261
11441	289.720264049659	358.538124410478	-0.357835196938091	3.25055892156119	17.9003065262973	0.000143127257573039	0.00106059644526754
22051	251.342883122905	215.147427634349	0.341266500815855	2.63223729199905	17.9002423592204	0.000143130522962608	0.00106059644526754
22401	4359.84581206256	4045.21117311165	0.147088088224159	6.88551199323556	17.8899081845294	0.000143657446671981	0.00106395838817051
210106	2035.33262429332	1963.86655927956	0.148203848522145	5.75882612560863	17.8725380590182	0.00014454774922592	0.00106987687459104
15937	322.996179047765	268.374401560168	0.377986830276971	3.03141402657508	17.8714477891428	0.000144603825042791	0.00106987687459104
231503	1649.77467209113	1474.13393658414	0.249089208744832	5.42929543520284	17.8284945498562	0.000146831444031199	0.00108580545201901
121022	667.106837529305	542.309477300331	0.307820037075686	4.03097062946176	17.8222072018073	0.000147160547589601	0.00108723967095605
15381	6772.09042387564	5651.94715628487	0.191588471693153	7.48271578653148	17.8219307703721	0.00014717503494395	0.00108723967095605
23857	3447.31544914738	2867.44599066811	0.179168389285997	6.46282560435057	17.8099688304007	0.000147803389002466	0.00109096189500059
75292	535.457882597867	584.413108869802	-0.288642430967692	4.009787948702	17.809481407199	0.000147829053145425	0.00109096189500059
14645	48667.6375764738	41499.0762490591	0.201135520275153	10.3369617141015	17.8039935107022	0.000148118331066809	0.00109220206490024
75216	204.469687503978	250.754195953076	-0.431218832903685	2.64281248623361	17.8034421479663	0.000148147427563029	0.00109220206490024
216558	2507.68618720317	2663.91990859696	-0.209354604780221	6.21328052172152	17.7977127033172	0.000148450139592154	0.00109387879229898
17084	273.525339917021	335.183243322315	-0.410053720404405	3.10346240357246	17.7946726337428	0.000148611025507312	0.00109450928111847
791413	104.829504865165	140.473916103568	-0.439980405440594	1.79082782258351	17.7896373847937	0.000148877905597716	0.00109591937499514
382207	291.369341051892	329.662214769017	-0.334265551549631	3.08834818055422	17.7768687404292	0.00014955694850325	0.00109989102133143
27399	9650.4430487139	9172.97507094378	0.175107058434301	8.02659902208917	17.7766458818571	0.000149568829271964	0.00109989102133143
71567	179.218980540716	225.247787073032	-0.416158652584967	2.57731297990129	17.7685551726547	0.000150000827951276	0.00110250987908952
80750	2578.23416987209	2350.65452052893	0.199670690965382	6.05516547759478	17.7643421380238	0.000150226302681632	0.00110360890003377
235040	759.092510397639	730.866931628279	0.21472669251792	4.40158324085842	17.7611652944858	0.000150396559153332	0.00110430136485956
215114	3180.10626958082	2513.76256446204	0.40182347510027	6.30594097792959	18.6695827185257	0.000151393609569956	0.00111106087912173
239555	1127.59721842837	1009.91265787116	0.214695174097041	4.88984924854403	17.7339799835678	0.000151861871446194	0.00111339589846431
329470	78.8330579874061	124.54362950188	-0.5998332735284	1.55956383818914	17.7339217861543	0.000151865024482573	0.00111339589846431
338535	44.1054896526139	25.593811593912	0.844397717682225	0.0691422675405288	17.7323410041885	0.000151950695029689	0.00111346220346768
387609	578.868872308612	486.054077609497	0.324773814151852	3.87585275148815	17.7197269727802	0.00015263614666828	0.00111792129397015
381634	1185.73189223581	786.972114149308	0.503820523222253	4.66502419566404	18.5845273320665	0.000153571668838313	0.00112327076895772
54447	488.208491462135	546.825424412995	-0.306247388560066	3.87957886079146	17.7025227683719	0.000153576305681399	0.00112327076895772
18190	13655.7794601679	13838.6253797756	0.168142601213207	8.5939568974815	17.702118961699	0.000153598445937581	0.00112327076895772
67789	2097.17462365694	1980.15195275197	0.190078800384032	5.8465915738729	17.6888441933005	0.000154328168755023	0.00112803954737387
108653	981.857137315212	1147.21953678812	-0.254897008325953	4.9282450046581	17.6845066328361	0.000154567401238457	0.00112922016460333
66066	166.628827735366	211.626973228773	-0.569387815699319	2.48766244137723	17.7533103357431	0.000155126063539063	0.00113273207501815
18003	486.545205825627	392.808734005481	0.335812984911457	3.60892888805318	17.6693793097972	0.000155404802335999	0.00113419748003234
58194	1411.4752489341	1530.41759228048	-0.176018677678313	5.41710461155883	17.6611512130504	0.000155862297115908	0.00113696538122051
