	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000058258	261.2	322	-0.292139260746675	2.9016131772693	8.71047223230795	0.00564562005330579	0.0243566420887919
ENSMUSG00000024978	1209.2	1383	-0.208238281360937	5.0287286707642	8.72041006422736	0.00565740279135349	0.024400825281835
ENSMUSG00000052613	1272.6	1416.4	-0.150666327169739	5.20369010836383	8.70281456558091	0.00566215318681592	0.0244089668880486
ENSMUSG00000039632	504	446	0.176765537904879	3.60511569726595	8.70272509162442	0.00566237452858136	0.0244089668880486
ENSMUSG00000070644	421.4	487.8	-0.224992979945652	3.56559323645517	8.70044353811554	0.00566802180018804	0.0244213748911612
ENSMUSG00000028134	8487.6	9293.6	-0.138942621519792	7.79855948415489	8.7003156290042	0.00566833857793456	0.0244213748911612
ENSMUSG00000028333	816.6	898.4	-0.14570747622457	4.42053666929101	8.69672733556677	0.00567723303354466	0.0244530399150962
ENSMUSG00000032431	152.2	177	-0.229061036330915	2.07370935873282	8.69470268153609	0.00568225823479297	0.0244680265502007
ENSMUSG00000024480	2420	2652.4	-0.145768517640634	5.98860708594222	8.6893051938308	0.00569567815308854	0.0245191431833665
ENSMUSG00000031154	2937.6	2798.4	0.0718833520516449	6.18123307184447	8.68234373507974	0.00571303683409303	0.0245871832645075
ENSMUSG00000025887	16.6	24.8	-0.602817383601603	-0.799286857384294	8.6815667787645	0.00571497772351668	0.0245888508794633
ENSMUSG00000079434	135.4	165.6	-0.288572263405974	1.8994315613315	8.68023885094004	0.00571829661464769	0.0245903673752483
ENSMUSG00000029177	57.4	45.2	0.35760808338069	0.413828451817294	9.45407645424664	0.00571848923949276	0.0245903673752483
ENSMUSG00000091866	61.8	77	-0.307893677637671	0.880761450356935	9.50639946868675	0.00572019057453523	0.0245903673752483
ENSMUSG00000024854	483.6	555.8	-0.208334735941694	3.65493200110651	8.67894025590798	0.00572154419376078	0.0245903673752483
ENSMUSG00000041782	223.4	172.2	0.366999177530901	2.36326831429757	8.68238183403381	0.00572921664428305	0.0246166585945593
ENSMUSG00000025198	725.4	790.6	-0.135458272452677	4.27012759991726	8.66531101343628	0.00575574835032453	0.0247239458988567
ENSMUSG00000029804	10156.4	10922.2	-0.0969291877636889	8.04160567327333	8.66457350370436	0.0057576054607727	0.0247252134667854
ENSMUSG00000057818	99.6	78.6	0.380097769873017	1.28165236607978	8.66019336872563	0.00576864825539637	0.0247659162556737
ENSMUSG00000020888	1445.4	1587.8	-0.147047418545543	5.2562311877911	8.65915503734352	0.00577126933100303	0.0247704507159563
ENSMUSG00000032221	50.4	39.2	0.382115805468137	0.397799515072415	9.2289136567125	0.00577539592099288	0.0247755852730648
ENSMUSG00000043631	125.6	151.4	-0.283892389579937	1.83174228311801	8.65744213201521	0.00577559603623785	0.0247755852730648
ENSMUSG00000045287	4602.8	4223.8	0.119994558593975	6.8626899877761	8.65666723796027	0.00577755451923337	0.0247755922576465
ENSMUSG00000002871	1310.2	1209.4	0.126373612211644	4.99600999350865	8.65620304557437	0.00577872806969681	0.0247755922576465
ENSMUSG00000033196	80.2	103.2	-0.366738755966431	1.22332459869054	8.65139438838205	0.00579090015782649	0.0248210556724169
ENSMUSG00000071253	1177	1274	-0.114136540147258	4.94954558504476	8.6482434107858	0.00579889109798902	0.0248420380554286
ENSMUSG00000038515	42	53.6	-0.370605151528278	0.27595439582002	16.9581881532807	0.00579893427347329	0.0248420380554286
ENSMUSG00000037965	1715.4	1832.2	-0.106533236905289	5.52128545645344	8.64629561242867	0.00580383666765614	0.0248563123951107
ENSMUSG00000050390	1846.6	2043.8	-0.148572464673038	5.71779706998156	8.64486123596618	0.00580748152294747	0.0248651947597337
ENSMUSG00000034974	1380.4	1268.8	0.125264361216741	5.057415974647	8.64360207719744	0.00581068316118498	0.0248721751645206
ENSMUSG00000041225	624.6	676	-0.113478406466365	4.06317201423745	8.64297917011987	0.00581226771473954	0.0248722318617497
ENSMUSG00000111151	196.8	168	0.219965486992254	2.31754960699921	8.6406162731479	0.00581828267709568	0.024891242296148
ENSMUSG00000073131	5159.4	6005	-0.231331138293476	7.13223443576453	8.72781974172831	0.00582190180418567	0.0248999955845596
ENSMUSG00000035775	78.6	95	-0.282788883554817	1.16066924444525	8.63479385140435	0.00583313268245154	0.024941290445847
ENSMUSG00000106791	16.2	10	0.704728569858142	-1.38021268834867	21.6112260628502	0.00584936012864477	0.0250039215436992
ENSMUSG00000027615	586.6	638.8	-0.116916213079944	3.96466905896316	8.62742476723844	0.00585198574947693	0.0250083915843602
ENSMUSG00000079499	227.6	263	-0.210310863988073	2.67268480417848	8.62617061064032	0.00585520088824448	0.0250153778299654
ENSMUSG00000026737	4514.2	4783	-0.0833335192757637	6.89444549972673	8.62382437954206	0.00586122074400103	0.0250343397616817
ENSMUSG00000031485	2195.6	2041	0.110453838350741	5.77836784342132	8.62234117819529	0.00586502970139707	0.0250424658951533
