	logFC	logCPM	LR	PValue	FDR
54139	-0.206963590060224	0.350700987740949	0.777063177298462	0.378040832123102	0.981062390639285
15441	-0.0341026680099224	8.02945719184497	0.77697563407729	0.378067697258636	0.981062390639285
22084	-0.0424177839393637	7.30189660904552	0.77647823979445	0.378220387952892	0.981062390639285
78611	-0.105546539282435	2.39615328948645	0.775958228876627	0.378380114450907	0.981062390639285
107358	-0.0405988044043126	7.68827044029681	0.775881867174599	0.378403577707045	0.981062390639285
231004	-0.234033401803342	0.375194254757424	0.775472081823708	0.378529525318759	0.981062390639285
26397	0.0758076877290051	3.98577488055989	0.775394047927474	0.37855351574971	0.981062390639285
224824	0.0503436113511624	5.7041661497028	0.775333755168209	0.378572053383766	0.981062390639285
210135	0.0501573043634111	5.48274934003275	0.775037849031968	0.378663051348178	0.981062390639285
78618	-0.0431920357994046	6.94449525602633	0.774943073994615	0.378692203378787	0.981062390639285
13353	0.0586631018603771	5.25614738073836	0.774863540420661	0.378716669701072	0.981062390639285
74782	-0.0716256932357173	4.40842490922041	0.774761739063512	0.378747989348076	0.981062390639285
100561	-0.069923880690455	4.09863908407162	0.774692556672019	0.378769275707284	0.981062390639285
11855	-0.0509444344132401	6.24909509061817	0.774060805573335	0.378963733877181	0.981062390639285
14735	-0.0967045623485197	3.28232903205725	0.773961511216489	0.378994310297162	0.981062390639285
72355	0.118647170308551	2.70349564705155	0.773949850962032	0.378997901150826	0.981062390639285
71776	0.12338716941548	1.70788803957318	0.773689869639037	0.379077976609381	0.981062390639285
13644	-0.0873652000564929	2.84829632151284	0.773675442851744	0.379082420825903	0.981062390639285
52892	0.0919215149742331	3.17963299703523	0.773550942482361	0.37912077660444	0.981062390639285
19245	-0.0471898392963032	6.07553630810337	0.773269491812567	0.37920750543853	0.981062390639285
56282	0.0472024217538057	4.90979136592521	0.772884713319327	0.379326119969592	0.981062390639285
78878	0.0546551837951381	5.67185080096692	0.772616266370456	0.379408904322703	0.981062390639285
241112	0.142020071942184	1.14952607194254	0.772250270886977	0.37952181202221	0.981062390639285
140488	0.0895141997110302	2.3674263973081	0.772069087771964	0.379577723617678	0.981062390639285
13003	0.0631146443231839	4.36532047085422	0.771610418127803	0.379719317219146	0.981062390639285
110213	0.0346865283362693	7.9843905756274	0.770846713394285	0.379955242164022	0.981062390639285
68617	-0.0382679192455996	6.92194113548123	0.770683922120925	0.380005558677766	0.981062390639285
71336	0.173295227730605	0.50103612047985	0.770638281370204	0.380019667286635	0.981062390639285
100503890	-0.0741560915729908	3.81588069301032	0.770429577021682	0.380084192041799	0.981062390639285
80286	-0.0431909369209923	7.66774992738814	0.770298301942896	0.380124786053953	0.981062390639285
67912	-0.0592048510221388	4.31299232624972	0.769998931167748	0.380217382976712	0.981062390639285
613263	0.133496298296409	3.54223873033362	0.769864067863274	0.380259107301607	0.981062390639285
100502768	-0.0972616161389509	3.50157608784684	0.769596095383333	0.380342032452576	0.981062390639285
66498	0.0401811469460046	5.74336139719663	0.769433850814347	0.380392252098257	0.981062390639285
380959	0.0604617378387553	4.66894057355878	0.769030936837764	0.380517006802382	0.981062390639285
103978	0.0595148606076971	5.09246633552139	0.768946186661783	0.380543255453486	0.981062390639285
69528	0.0682301894715131	3.4139384781908	0.768892792404303	0.380559793927576	0.981062390639285
26382	-0.112457805605649	2.35165683209258	0.768430706560427	0.380702964026507	0.981062390639285
19726	-0.0751605374641427	5.54511865402465	0.768421614217855	0.380705781910854	0.981062390639285
243911	-0.0943007427511901	3.5599581334955	0.767975088910145	0.380844204610211	0.981062390639285
72504	-0.114298281807291	2.45217366339456	0.767745651777915	0.380915357719967	0.981062390639285
83704	-0.0514176096937341	4.87946321124338	0.767574133770084	0.3809685612119	0.981062390639285
17979	0.042893744271346	6.02168113800009	0.767391459326543	0.381025236895065	0.981062390639285
71893	0.140254761166601	1.28492816783481	0.767352682988077	0.381037268986982	0.981062390639285
67207	-0.0773322377893755	3.34564735656709	0.767008839518873	0.381143985300222	0.981062390639285
107951	0.0375361670513573	6.3408877582823	0.76692929360382	0.381168679434611	0.981062390639285
330166	0.045770714417846	9.96308281999499	0.766613040232624	0.381266879121562	0.981062390639285
110521	0.0707026061949049	7.11364254862518	0.766494781877181	0.381303608661016	0.981062390639285
435145	-0.205312515901529	0.123130524709054	0.766450513996437	0.38131735898863	0.981062390639285
