	KOCTRL	WTCTRL	logFC	logCPM	F	PValue	FDR
54189	5751.34336423519	5876.72110070887	-0.0325430123874316	7.38122224288856	1.3207159680501	0.256969187904846	0.846550275181012
99100	162.432639142885	168.757554401851	-0.0761119914857213	2.34448421062776	1.32026606071152	0.257048992993796	0.846550275181012
67027	1011.86274916917	1038.01560179289	-0.0302816950301553	4.82261353923737	1.31951630863925	0.257182054715883	0.846550275181012
50721	600.520262926431	585.110744129167	0.0462982389256143	4.01358395180942	1.31923084482896	0.257232740159806	0.846550275181012
224481	187.415203160768	196.863348481628	-0.0729537107013843	2.37604345294974	1.31886911666454	0.257296984894034	0.846550275181012
74100	18171.6157812804	17675.3818530791	0.0369825720625317	8.92113842269168	1.31862848586386	0.257339733399179	0.846550275181012
15353	459.453607883492	475.025495904291	-0.044145750041824	3.72997563721616	1.31846470789067	0.257368834009069	0.846550275181012
72899	795.777833188808	815.165418913835	-0.0435525747427531	4.50301247744978	1.31837800492432	0.257384241367165	0.846550275181012
71956	87.5005896297925	92.0539151291201	-0.081574582651634	1.26465069985114	1.31800801591276	0.257450002590169	0.846550275181012
70737	345.697936927505	327.805389824914	0.0642334719832153	3.18285750679261	1.3174431806884	0.257550436551901	0.846550275181012
228889	1507.02853235091	1468.57450344882	0.0304428850032528	5.39967812346796	1.31726351786724	0.257582393008853	0.846550275181012
212307	11540.280241224	11570.7237403072	-0.0243846672145978	8.38391405701465	1.31685089984437	0.257655804028984	0.846550275181012
16905	1811.64647166851	1776.33657611337	0.0407365123745764	5.52430571265089	1.31683067720998	0.257659402625276	0.846550275181012
75030	161.644721862666	155.482374411027	0.0863714396406658	2.13925217057	1.31679685094355	0.257665422115938	0.846550275181012
68813	376.162639916537	383.723023723206	-0.0853352478376789	3.53553737034991	1.31889322787789	0.257713378067244	0.846550275181012
100504048	83.3351975972544	89.2970752385659	-0.102009789165748	1.14667959586598	1.31631356763495	0.257751443386862	0.846550275181012
629147	56.3771484650839	59.9432930385985	-0.132922065122776	0.869210592146651	1.31630293368776	0.257753336569549	0.846550275181012
58194	1585.12603479511	1539.23048811434	0.0301092060462733	5.41710156693041	1.3162213315559	0.257767864945824	0.846550275181012
75219	990.944882965886	986.732441023615	-0.0581908693879305	4.85704158688139	1.31719562799273	0.257779197635624	0.846550275181012
