	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
545192	130	263.6	0.0847393963568328	2.42249939268827	0.450980673414548	0.50922823758288	0.633696508482389
20672	134	300.4	-0.0815719600507215	2.49133497731433	0.450644685573116	0.509326053311465	0.633763668609153
17001	41.2	90.4	-0.0961332694593968	0.828990324791886	0.447782659099166	0.509823090492716	0.63430270313797
70333	568.6	1031.4	0.0329825418641987	4.41441262013257	0.447731556458589	0.509847018476334	0.63430270313797
277333	104.2	209	-0.0654251047685913	1.98958140746024	0.447001758897332	0.510188951755543	0.634634080379561
214547	124.4	213.6	0.0840951843958693	2.15720957081875	0.447904746914196	0.510201190951328	0.634634080379561
12308	276.4	568.6	-0.0790408971209382	3.5208153943765	0.453009656812071	0.510381269981102	0.634739075024571
100043074	30	59.4	-0.128800116865898	0.20538993903442	0.446484957813845	0.51043133552745	0.634739075024571
12801	5742.8	10146.4	0.021385359433791	7.73391901815116	0.446460076885053	0.510443010033848	0.634739075024571
216011	556.8	1139	-0.0364634386204047	4.45090385132037	0.446421190715736	0.510461256959015	0.634739075024571
613263	322.4	571	-0.0883169740990442	3.54224652411953	0.455212116992236	0.51051864331876	0.63475582542188
21975	185	355	-0.0664949335133539	2.82738149061577	0.445028627577697	0.511255505503949	0.635617329825742
654467	1157.6	2155.4	0.0367004508686126	5.47131979334704	0.446027199913913	0.511351965308072	0.635623178934533
12373	52.4	100.8	0.094366648166426	0.972656417462358	0.444406765511412	0.511408091339598	0.635623178934533
319757	204.6	385.2	0.0543242055004114	3.02347428449484	0.444368913741971	0.511425912559691	0.635623178934533
66538	366.2	699.6	0.0417884838145944	3.84591324595024	0.444347250273981	0.511436112564592	0.635623178934533
108098	454.6	819.4	0.0354136173702014	4.06350000973142	0.443801164759906	0.511693350434368	0.635844719928466
629147	47.8	78.8	0.107904175590816	0.783168482869717	0.443658359403085	0.511760657975488	0.635844719928466
68537	603.2	1140.4	-0.0371647537070158	4.52313500172996	0.443569962715289	0.511802329316295	0.635844719928466
21838	20430.2	40578.2	-0.0219836766944359	9.65735693233826	0.443554634453818	0.511809555870911	0.635844719928466
79560	911.8	1684.6	-0.0284850314182605	5.10533895889909	0.443470868412067	0.511849050828052	0.635844719928466
208164	67.8	121.6	-0.106432749279942	1.41312616278171	0.444085089258774	0.511878314728631	0.635844719928466
544696	306	519.4	0.0429685168777021	3.40710952981047	0.442978598948413	0.512081261197909	0.635939509133621
66467	1057.4	2101.4	-0.0244043639663661	5.37883231055756	0.442976151851745	0.512082415995802	0.635939509133621
72482	669	1371.4	-0.0356396419873647	4.75360064038149	0.442967251960719	0.512086615940655	0.635939509133621
17846	379.4	690.4	0.0389420733072571	3.83448155930326	0.442071072445845	0.512509845958932	0.636410422121169
207607	54.2	101.8	0.0859608914880906	1.02659033342487	0.441580785729273	0.51274165264551	0.636643574206528
231642	123.8	226.6	0.0638401264156956	2.22449842451291	0.441397828931273	0.512828202162127	0.636696343759783
68193	67.4	121.4	-0.0881929881774611	1.33414137831959	0.440475021770266	0.513265142417385	0.637184090741294
218038	7238.6	13606	0.020942701636906	8.09863277509704	0.439162397264246	0.513887802664294	0.637857834039037
16434	328.2	621.4	0.0379720556077286	3.65957112377218	0.439144888764961	0.513896117156813	0.637857834039037
66204	339.6	657	-0.0381096932005685	3.69675627656442	0.438769905415159	0.514074248146375	0.638024144144574
54351	1443.4	2799.6	0.0228761511997387	5.80564144960497	0.438664434446085	0.514124370639079	0.638030785832659
26900	1281.6	2324.8	0.0514977607583697	5.57772954457285	0.446408448199341	0.514167883864592	0.638030785832659
19763	371.8	764.4	-0.0375759976627099	3.91375280215325	0.438345999827634	0.514275751870148	0.638105632872072
22719	217.4	444.8	-0.0457762388831584	3.16519653101029	0.438260323510967	0.514316495292627	0.638105632872072
67834	6161.4	11532.6	0.0184185345716816	7.85824942187545	0.438115432877864	0.514385411245682	0.638125305323204
18027	1015.2	1849.6	0.028627467558171	5.25270069289698	0.437859970560231	0.514506959857911	0.638125305323204
74996	3194.6	5554.4	0.0200379226990374	6.85883235351715	0.437767261199695	0.514551083539405	0.638125305323204
73166	457.6	950.8	-0.0325707167434013	4.19753087088533	0.437757396167613	0.514555779057198	0.638125305323204
68165	747.2	1495.6	-0.0328830097754998	4.84614196856647	0.437744736298726	0.514561804962264	0.638125305323204
76088	135.4	261.2	-0.0618176268156739	2.38766274881359	0.437670288384713	0.51459724358982	0.638125305323204
20931	653.2	1269.4	-0.0295456479291724	4.6676464882286	0.437341734363522	0.514753693715116	0.638211670117436
73288	2322.8	4176	0.02249925219822	6.41138414259933	0.437338573484321	0.51475519926865	0.638211670117436
15483	294	574	-0.084236210389173	3.45433765904344	0.444975545494855	0.51480517589314	0.63821888775705
19646	2748	5228.2	-0.0207135525406421	6.71625490693469	0.436952325097214	0.51493923194994	0.638330330926624
16490	10524.8	17156	0.0306337504034207	8.51724072273099	0.439598621704591	0.51529107407369	0.638711704370218
30949	1503	2866	0.024803076375671	5.84842593508792	0.436044794133908	0.515372099566053	0.63875735955477
93702	111	226.8	-0.0931172127964768	2.09480232288023	0.437751859433294	0.515722768429174	0.639137176959211
228715	186.8	346.4	0.0475944023278273	2.8669044440841	0.472853991412423	0.515777100253577	0.639149709110528
327826	1790.4	3308	-0.0257589788234897	6.06480545487204	0.434999371950693	0.51587154571503	0.6392119435718
22146	623.4	1187.6	0.0695520680519094	4.40675602574132	0.443607063011951	0.516062801808421	0.639394114292724
12151	1186.8	2094.8	0.0376662917772983	5.43931654947736	0.436411583740748	0.516119018712825	0.639408956584826
381224	113.8	160.6	-0.156333827436253	1.92708713952448	0.443581035325865	0.516205858448724	0.639439215529919
17428	1164.4	2325	0.0274411300466519	5.53333948217409	0.434246170638718	0.516231922375718	0.639439215529919
12867	221	409.8	0.0638770388347162	3.08329157075738	0.434909638723027	0.516322820458003	0.639463989013649
214345	167.8	291	0.0529433746833988	2.59224576883409	0.433941071019455	0.516378028805054	0.639463989013649
69893	245.4	496.6	-0.0403109109361744	3.32045354093877	0.433927255713706	0.516384646448548	0.639463989013649
12659	246.4	455.4	-0.0502321169845072	3.1404572413901	0.431386893891949	0.517604093349465	0.640919178041049
101351	848.2	1561.6	0.0257022172141935	4.98138923142263	0.431246070642199	0.517671843902203	0.640948161021281
71169	1103	2035.8	-0.0277646440047888	5.41321442104035	0.431062614489372	0.517760129211425	0.640982437206664
13489	143.4	111	0.250075050842552	1.99304997914964	0.445084454260085	0.517797611738785	0.640982437206664
72160	284.8	535.4	0.0457822763831147	3.48135968809731	0.430912131959525	0.517832566712482	0.640982437206664
72514	161.8	356	-0.100373385059886	2.8894046643144	0.438002535860879	0.518056948190922	0.641205268809007
270028	2736.6	5145	0.0201315224149504	6.68623405620699	0.430123999295575	0.518212246647494	0.641306899496187
56421	9799.4	17997.6	0.0239174160212473	8.53762894823713	0.430124760325584	0.518227797572676	0.641306899496187
553127	1110.2	2275.2	-0.0274845904368036	5.46624373257069	0.429816638836533	0.51836045219164	0.641416143821416
69833	454.6	880.8	0.0392512069581159	4.14662409373446	0.429490222149769	0.518517929989656	0.641556082868557
