	GeneID	Chr	Symbol	NExons	P.Value	FDR
42562	67732	12	Iah1	6	0.964755264521648	1
179629	14814	7	Grin2d	12	0.96477082192947	1
143955	73162	4	Otud3	8	0.964827454243046	1
140874	194237	4	Rimkla	5	0.964832296980141	1
152999	54403	5	Slc4a4	26	0.964844835981244	1
33406	195040	11	Tmem199	6	0.964844889826607	1
194491	27967	8	Cherp	18	0.964857998892402	1
89372	193796	17	Kdm4b	23	0.964867840020424	1
86452	56299	17	Fkbpl	2	0.96489818045786	1
130076	72023	3	Cyb561d1	3	0.964929736808794	1
92134	13831	18	Epc1	15	0.964944295035087	1
52013	22017	13	Tpmt	9	0.964975511092878	1
96050	14151	18	Fech	11	0.964979797009263	1
17762	73132	10	Slc25a16	9	0.964981346385472	1
189021	18218	7	Dusp8	7	0.964998843669938	1
121208	228875	2	Slc35c2	10	0.965010064197865	1
121939	56491	2	Vapb	6	0.9650146017841	1
99189	104383	19	Rcor2	11	0.965019629361369	1
210293	56289	9	Rassf1	7	0.965062476793718	1
58995	75901	14	Dcp1a	10	0.96506407614643	1
68219	67819	15	Derl1	8	0.965101405341316	1
117255	100048701	2	AI847159	3	0.965104043519471	1
175540	16801	7	Arhgef1	32	0.965150005049679	1
26590	68585	11	Rtn4	11	0.965157404188972	1
130792	75769	3	Plppr5	6	0.965187107459776	1
133156	242274	3	Lrrc7	28	0.965217227472015	1
39452	66176	11	Nat9	7	0.965218874569387	1
159809	19085	5	Prkar1b	12	0.965227978898254	1
163885	23845	6	Clec5a	7	0.965260186177455	1
166699	27369	6	Dguok	7	0.965262763382239	1
200968	17535	9	Mre11a	20	0.96528002807762	1
216511	382221	X	Gm1141	9	0.965292640781453	1
49666	66505	13	Zmynd11	15	0.965318097663451	1
12793	51810	1	Hnrnpu	14	0.965459487665532	1
206727	76459	9	Car12	11	0.965499343021387	1
35230	22057	11	Tob1	2	0.96551032845106	1
208141	212531	9	Sh3bgrl2	4	0.965513661057852	1
183086	12406	7	Serpinh1	6	0.965525862699329	1
186023	18817	7	Plk1	10	0.96553221772313	1
200922	75723	9	Amotl1	13	0.965536076011505	1
121042	71971	2	Zswim1	2	0.965567787924885	1
46218	56531	12	Ylpm1	21	0.965609568451846	1
76477	11877	16	Arvcf	19	0.965620226704129	1
155208	69663	5	Ddx51	15	0.96563559451697	1
160044	27979	5	Eif3b	19	0.965657506535299	1
185188	267019	7	Rps15a	5	0.965660594399792	1
143053	72690	4	Grrp1	2	0.965687419893415	1
51083	66694	13	Uqcrfs1	2	0.965721817127982	1
126088	213582	3	Map9	14	0.965728184126593	1
118040	76161	2	Lamp5	6	0.965758760771288	1
75096	74022	16	Glyr1	16	0.965772101559739	1
181012	233335	7	Synm	4	0.965774638697407	1
190525	72148	8	Tdrp	3	0.965780100280027	1
99532	14376	19	Ganab	25	0.965797783155391	1
202133	244745	9	Dpy19l1	22	0.965802708758081	1
167034	69049	6	Nat8f5	3	0.9658209457047	1
85993	21356	17	Tapbp	8	0.965833694768278	1
197269	50788	8	Fbxl8	3	0.965853130056243	1
49178	217946	12	Cdca7l	10	0.965869960598777	1
119618	228812	2	Pigu	12	0.965883229689813	1
93608	13476	18	Reep5	5	0.965886240712407	1
205695	23806	9	Arih1	14	0.965920823052427	1
85798	240069	17	Morc2b	2	0.965930889987231	1
23224	56480	10	Tbk1	21	0.965945790079444	1
135207	100213	4	Rusc2	13	0.9659496352103	1
129400	68183	3	Bcas2	7	0.965956887623642	1
99159	396184	19	Flrt1	2	0.965975145740243	1
106572	30839	2	Fbxw5	9	0.966019447829853	1
