	GeneID	Chr	Symbol	NExons	P.Value	FDR
207128	15450	9	Lipc	9	0.812563766925401	1
99738	225908	19	Myrf	26	0.812617166337643	1
107640	227682	2	Trub2	8	0.812628638058014	1
143402	15903	4	Id3	3	0.812752775768401	1
95612	545260	18	Arsi	2	0.812762569083353	1
208078	75033	9	Mei4	5	0.812767067622719	1
141970	54383	4	Phc2	17	0.812817898855091	1
76920	78408	16	Fam131a	6	0.812860660212936	1
95717	13521	18	Slc26a2	4	0.81290190413808	1
129106	74645	3	Fam46c	2	0.812910673860779	1
155353	56305	5	Pitpnb	12	0.81293567704383	1
61131	114741	14	Supt16	26	0.813078646400838	1
37171	21428	11	Mlx	8	0.813106453994061	1
199462	66965	8	Ctu2	15	0.813175678855714	1
4911	245860	1	Atg9a	16	0.813230423787807	1
51441	12593	13	Cdyl	11	0.813353688661289	1
99015	54683	19	Prdx5	6	0.813357583619209	1
203412	69632	9	Arhgef12	41	0.813429041671086	1
181215	64176	7	Sv2b	14	0.813508461872079	1
177927	53896	7	Slc7a10	11	0.813518892603781	1
105615	277468	2	Slc39a12	13	0.813521830259375	1
140555	68180	4	Hyi	7	0.813522911317559	1
27881	59013	11	Hnrnph1	14	0.813529491414065	1
114042	320554	2	Tcp11l1	10	0.813531389637999	1
21624	71761	10	Amdhd1	9	0.813587769453525	1
14896	66253	10	Aig1	6	0.813889173723263	1
63441	19229	14	Ptk2b	31	0.813943291924347	1
77204	67838	16	Dnajb11	11	0.813991294098732	1
67051	100616095	15	Snhg18	2	0.814020769191538	1
164433	12304	6	Pdia4	10	0.814072111964863	1
81678	100040500	17	Gm2808	13	0.814174630544456	1
103125	26456	19	Sema4g	15	0.814221445756938	1
212086	78893	9	Cnot10	20	0.814227628570183	1
87381	15039	17	H2-T22	9	0.814338195588165	1
133266	56711	4	Plag1	6	0.81434650990193	1
139496	14084	4	Faf1	19	0.814374697651206	1
75706	223989	16	Marf1	27	0.814383206329267	1
27377	74315	11	Rnf145	12	0.814444287773044	1
39910	217331	11	Unk	16	0.814605375068116	1
135125	230088	4	Fam214b	11	0.814662247747122	1
24023	11947	10	Atp5b	10	0.814675192787513	1
170445	21991	6	Tpi1	7	0.814771694067256	1
