	GeneID	Chr	Symbol	NExons	P.Value	FDR
127213	68563	3	Dpm3	2	0.0426526207356447	1
112209	16401	2	Itga4	28	0.0428142144584148	1
109251	319817	2	Rc3h2	22	0.0428873470872778	1
173987	269870	7	Zfp446	5	0.0433328389239715	1
86221	14999	17	H2-DMb1	6	0.0436001610652489	1
89701	70785	17	Dennd1c	24	0.0438802612187633	1
145633	67087	4	Ctnnbip1	6	0.0442029410942652	1
14539	16798	10	Lats1	8	0.0442971353260256	1
21861	216238	10	Eea1	29	0.0447092170647099	1
39377	70355	11	Gprc5c	6	0.0447532896246488	1
194601	21968	8	Tom1	16	0.0447769737072619	1
109129	69601	2	Dab2ip	18	0.0453435172776559	1
4781	22420	1	Wnt6	4	0.0454114836457611	1
118889	228765	2	Sdcbp2	9	0.0454927414579893	1
136430	242484	4	D630039A03Rik	2	0.0457637065103164	1
152428	74318	5	Hopx	3	0.0458771169772057	1
100011	107350	19	AW112010	3	0.0463343828072922	1
35081	382543	11	Ankfn1	16	0.0464339008924117	1
81913	21331	17	T2	11	0.0467466756903102	1
171258	243653	6	Clec1a	6	0.047174902138508	1
154463	100504779	5	NA	3	0.0472175189688457	1
21291	237436	10	Gas2l3	11	0.0473291943497266	1
35166	217109	11	Utp18	14	0.0475126534494985	1
42094	209334	12	Gen1	14	0.0476273223021895	1
215405	23963	X	Tenm1	33	0.0479347520573331	1
217768	22764	X	Zfx	9	0.0480068964568972	1
16743	77987	10	Ascc3	42	0.049529986943899	1
191244	109145	8	Gins4	8	0.0495847602375098	1
169865	14411	6	Slc6a12	15	0.0500770260238088	1
150778	19126	5	Prom1	29	0.0501306602518206	1
64345	18826	14	Lcp1	18	0.0505164542587161	1
67674	11600	15	Angpt1	9	0.0507645652198752	1
210219	235599	9	6430571L13Rik	6	0.0509801639358919	1
132191	229898	3	Gbp5	11	0.0517095468500577	1
181628	20352	7	Sema4b	15	0.0518383660514785	1
134432	24060	4	Slc35a1	8	0.052128430920328	1
53941	72807	13	Zfp429	4	0.0523327382425465	1
215722	70415	X	Stk26	12	0.0526600265737467	1
22784	72068	10	Cnot2	17	0.0526808737211551	1
144458	329972	4	Spata21	15	0.0530299374519328	1
212178	21813	9	Tgfbr2	8	0.0531095105953634	1
85163	74762	17	Mdga1	16	0.0532348745531223	1
77762	320213	16	Senp5	10	0.0537427120394364	1
1778	16764	1	Aff3	23	0.0538340368983701	1
14061	215193	1	Diexf	12	0.0538876398652858	1
44370	66483	12	Rpl36al	2	0.0538880290962072	1
86602	54402	17	Stk19	7	0.0540364869727475	1
106018	27377	2	Yme1l1	19	0.0540912556674157	1
198574	234736	8	Rfwd3	13	0.054178775913425	1
46988	100038378	12	Gm10433	3	0.0543509626905922	1
104104	66980	19	Zdhhc6	11	0.0543921390590531	1
111269	73649	2	Cybrd1	4	0.0544036898877971	1
136669	230259	4	E130308A19Rik	5	0.0544386334548352	1
77696	71911	16	Bdh1	8	0.0544793594385324	1
23903	210035	10	Nemp1	9	0.0548519828707383	1
117691	20612	2	Siglec1	21	0.0550142631209118	1
72435	380959	15	Alg10b	3	0.0553388089317016	1
202532	330914	9	Arhgap32	23	0.0553818883824444	1
58665	211948	14	Pde12	3	0.0555664029208549	1
161829	269823	6	Pon3	9	0.05559893422428	1
218659	331487	X	Uprt	7	0.0567275637864756	1
24459	58223	10	Mmp19	9	0.0570659290397699	1
154772	243197	5	Mfsd7a	10	0.0573469405627051	1
39951	22378	11	Wbp2	8	0.057425454324658	1
