	KORS2	WTRS2	logFC	logCPM	F	PValue	FDR
105833	349.097884327915	341.888778172336	0.0122806864217616	3.36422664740836	0.0222308946650961	0.882269339144459	0.99911218134267
217337	2620.24550483755	2616.33281511838	-0.00552696413012346	6.18911706797727	0.0222223960166581	0.882291674352438	0.99911218134267
68152	1182.73116826275	1231.85591246981	-0.00794380318518107	5.04686023752471	0.0222015370410241	0.882346512130344	0.99911218134267
20740	56054.9605598741	56531.8284140894	-0.00579284830145634	10.6398708884042	0.0221555546428035	0.88246749195577	0.99911218134267
70097	2139.25428623754	2154.75674523033	-0.00806846283275426	6.13882303605751	0.022147946173528	0.882487522237023	0.99911218134267
26893	2561.65759069865	2589.99104562275	0.00678112656660188	6.21651786021476	0.0221390026270402	0.882511071781549	0.99911218134267
68083	1496.11255383568	1531.75527741328	-0.00856926844837995	5.38767546571533	0.0221135083534721	0.882578228297583	0.99911218134267
70381	4094.06576436256	3999.13405443848	0.00855792963790175	6.89123068837317	0.0220741271652263	0.882711067162376	0.99911218134267
242409	3176.11888164238	3135.22363845271	-0.00629135199543341	6.60335929356278	0.0220306212683716	0.882796841865076	0.99911218134267
71907	48.7069093692924	48.708873146063	0.0788444291507044	0.117613682210108	0.02211918481954	0.88285158672957	0.99911218134267
108705	1903.62433850526	1877.5242928981	-0.00661283972866039	5.76678670002678	0.021904143988405	0.883131236013229	0.99911218134267
114893	1171.59242850714	1226.11596568137	0.00862810025256463	5.06380071240767	0.021834770920242	0.883315071227015	0.99911218134267
29869	5442.28193614708	5475.94223631873	-0.00467102063378708	7.28875428656979	0.0218247474299855	0.883341657656425	0.99911218134267
18412	15258.4319920728	15229.7985644646	0.00551096827890461	8.75124560436864	0.021816162754599	0.883364432718138	0.99911218134267
117599	235.578614801806	236.603820117041	-0.0103911546329227	2.65076653013415	0.0218117547616987	0.883376128861284	0.99911218134267
66439	607.691054459827	606.91728903347	0.00817467524149925	4.11498683948136	0.0217929352995007	0.883426077911412	0.99911218134267
13052	1384.06402848067	1451.96509774937	-0.00964947743566793	5.34681473445659	0.0217976088137033	0.88343469602356	0.99911218134267
218194	19976.4798635102	19647.4518266217	0.00539896305221355	9.14626011725676	0.021783489809078	0.883451155656322	0.99911218134267
17763	246.072869039964	256.70206294371	-0.01319867208656	2.77283634290705	0.0217648884864377	0.88350055836164	0.99911218134267
327655	7396.10610776709	7375.97379696658	-0.0060693278940807	7.6967988306131	0.0217163250335462	0.883629638424817	0.99911218134267
69807	7233.23126791507	7134.09277125153	0.00636612700891382	7.65053608299144	0.0217156244097293	0.883631501739016	0.99911218134267
77630	1196.94251030827	1182.49494459355	-0.00692573159440722	5.0393084306528	0.0216385761446341	0.883836599994262	0.99911218134267
270190	1481.55948713443	1461.72275864871	0.0065610373601133	5.49877084946507	0.0216276298455565	0.883865768704565	0.99911218134267
71941	420.797775271082	417.621281175811	-0.00820288473048194	3.56403238646384	0.0215838242361857	0.883982573523832	0.99911218134267
99382	371.27155931756	355.56357255383	0.0116117694874205	3.48223472597897	0.0215704213579329	0.88401833563142	0.99911218134267
114741	2205.93020089196	2229.82221508953	0.00614972009595898	5.95227270927887	0.0215409301005533	0.884097065416582	0.99911218134267
56453	3442.04343446039	3361.60084866236	0.0052587209742468	6.6021280284737	0.0215402857327253	0.884098786234026	0.99911218134267
13371	5214.48186347121	5520.00575313121	-0.0133921351418406	7.05783544045641	0.0216058481946691	0.88414013583961	0.99911218134267
100986	2990.45739934792	3105.65044861787	-0.00750109836305207	6.38899017317251	0.0215241822241068	0.884141800029618	0.99911218134267
26407	1891.00130937895	1861.38656054333	-0.00674514725488731	5.74449874246949	0.0215225529911362	0.884146152760817	0.99911218134267
26564	36.9260916326648	35.933902356736	0.0256251410029363	0.188304764345705	0.0215211616714162	0.884149870005704	0.99911218134267
230577	267.379710811892	268.316434652174	0.0122794974105104	2.93003625246402	0.021518523717344	0.884156918270943	0.99911218134267
106869	180.998489124371	177.678125662024	0.0142418364318941	2.48733165169869	0.0214520808709954	0.884334590633075	0.99911218134267
