	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
50797	3827.03185494136	3900.80598641596	-0.0205228256497066	6.73814632289081	0.25903871255796	0.613624708532529	0.752009837200487
78777	652.655229025677	671.693898368365	-0.022628535472184	4.24719795417953	0.258825511344448	0.613770214160388	0.75212472440248
353156	1087.26365968714	1187.09670114523	-0.0262719030312072	4.98564695000027	0.258362400335086	0.614086539397238	0.752448899905664
23888	762.054197317669	774.057341492151	-0.0280822304978406	4.40400642216765	0.257913607575652	0.614393426508759	0.752761457048801
56089	426.215101117614	501.058747543416	-0.0564146538504405	3.69393663241685	0.258657155838422	0.614494441846163	0.752821746435089
57321	2135.32882881906	2199.87618340169	0.0181063908356469	5.91540456199364	0.257405377233102	0.614741364752807	0.75304135304888
638247	4101.46337701549	4271.9710917846	0.0219429919765678	6.8707740717281	0.25725599776279	0.61484371348237	0.75304135304888
69527	1016.05505808013	1022.32694145934	0.026089402004879	4.80058880881594	0.257254876707615	0.614844481725489	0.75304135304888
18618	57.3211207133442	63.4522869488025	-0.0684601386749276	0.712652316784591	0.293208194798702	0.614880989190349	0.75304135304888
73828	628.993813949216	666.342957564871	-0.033828221828017	4.21440424533941	0.256948048989003	0.615054825845097	0.753190769792273
245522	737.3815240347	778.432008383285	-0.0302844684326062	4.3811693122556	0.256543937085194	0.61533210455185	0.75346682491303
320736	113.478501082047	114.916777919787	0.0671187662276811	1.79186169112489	0.256465572075785	0.615385906069041	0.753469211416349
26408	2143.53903106943	2209.60277807155	-0.0213336716998883	5.9854996258154	0.256116338823357	0.615625798374206	0.753699425071664
107173	2733.86202970182	2861.95491826128	-0.018195491322562	6.34296620198518	0.256021805825802	0.615690769634754	0.753715465338046
70544	1001.79302633268	1051.12747043691	0.0255920754606464	4.83380572168952	0.255791725175974	0.615848964199163	0.753845615262239
100040220	1252.33226701616	1214.33604470199	0.0302339430510457	5.08161243138683	0.255639140731518	0.615973876217881	0.753935006344511
18193	6304.99605887647	6192.41040731418	-0.0166499631347036	7.48798714957666	0.25470787050451	0.616595389439992	0.754625653035463
